Gene  Rule 
g35    ( g137 or g190 or g248 or g673 or g911 or g1175 )
g36    ( g27 or g615 or g681 or g815 or g950 or g1088 )
g37    ( g55 or g220 or g475 or g1497 )
g38    ( g44 or g133 or g1116 or g1161 )
g39    ( g471 or g501 or g810 or g905 or g972 or g996 or g1086 )
g40    ( g475 or g603 or g848 or g1019 or g1217 or g1300 or g1461 or g1493 )
g41    ( g501 or g584 or g793 or g937 or g1411 )
g42    ( g184 or g252 or g644 or g1128 or g1468 )
g43    ( g17 or g58 or g147 or g184 or g218 or g344 or g422 or g433 or g551 or g631 or g650 or g669 or g698 or g699 or g803 or g909 or g947 or g967 or g1009 or g1016 or g1075 or g1090 or g1114 or g1127 or g1236 or g1285 or g1339 or g1350 or g1411 or g1475 or g1480 )
g44    ( g35 or g840 or g891 or g926 or g1103 or g1373 or g1436 )
g45    ( g4 or g296 or g459 or g1113 or g1141 or g1188 or g1226 or g1490 or g1492 )
g46    ( g136 or g160 or g259 or g345 or g376 or g415 or g536 or g623 or g702 or g835 or g877 or g1133 or g1141 or g1173 or g1229 or g1282 or g1401 or g1410 )
g47    ( g108 or g590 or g1357 or g1405 )
g48    ( g29 )
g49    ( g1080 )
g50    ( g87 or g234 or g595 or g710 or g716 or g1145 )
g51    ( g88 or g195 or g201 or g249 or g284 or g654 or g728 or g749 or g795 or g999 or g1009 or g1125 or g1255 or g1386 )
g52    ( g246 or g347 or g482 or g729 or g1044 or g1170 or g1258 or g1381 or g1388 )
g53    ( g14 or g39 or g52 or g94 or g97 or g124 or g146 or g163 or g224 or g291 or g392 or g519 or g577 or g589 or g691 or g711 or g743 or g752 or g831 or g852 or g859 or g866 or g869 or g894 or g899 or g923 or g940 or g944 or g948 or g983 or g984 or g987 or g995 or g1002 or g1016 or g1022 or g1027 or g1073 or g1089 or g1130 or g1167 or g1176 or g1271 or g1307 or g1358 or g1418 or g1424 or g1445 or g1453 or g1468 or g1500 )
g54    ( g347 or g858 or g910 or g1018 or g1205 or g1375 )
g55    ( g3 or g664 or g696 or g772 or g1137 or g1459 )
g56    ( g129 or g518 or g904 )
g57    ( g922 or g936 or g1200 )
g58    ( g165 or g617 or g667 or g675 or g1254 )
g59    ( g1217 )
g60    ( g50 or g1355 )
g61    ( g1032 or g1353 )
g62    ( g36 or g252 or g747 or g804 or g817 or g1065 )
g63    ( g97 or g301 or g353 or g551 or g793 or g835 or g912 or g1070 or g1429 )
g64    ( g76 or g134 )
g65    ( g23 or g112 or g314 or g340 or g405 or g440 or g487 or g514 or g517 or g527 or g598 or g714 or g928 or g960 or g1013 or g1098 or g1149 or g1151 or g1268 or g1316 )
g66    ( g626 or g912 or g984 or g1151 )
g67    ( g220 or g1269 or g1487 or g1492 )
g68    ( g50 or g89 or g119 or g171 or g245 or g263 or g438 or g489 or g794 or g839 or g942 or g944 or g971 or g1119 or g1156 or g1180 or g1315 or g1350 or g1483 or g1491 or g1495 )
g69    ( g292 or g966 )
g70    ( g671 or g1270 or g1350 or g1489 )
g71    ( g291 or g515 or g615 or g1398 or g1457 )
g72    ( g4 or g95 or g574 or g579 or g705 or g942 or g1085 or g1087 or g1257 or g1492 )
g73    ( g234 or g295 or g500 or g652 or g720 or g1472 )
g74    ( g1029 or g1476 )
g75    ( g77 or g88 or g161 or g179 or g231 or g234 or g243 or g246 or g270 or g312 or g351 or g370 or g421 or g424 or g432 or g442 or g469 or g471 or g487 or g499 or g530 or g535 or g666 or g682 or g714 or g718 or g729 or g788 or g809 or g818 or g835 or g876 or g885 or g899 or g918 or g923 or g946 or g958 or g1027 or g1070 or g1188 or g1214 or g1215 or g1222 or g1280 or g1293 or g1304 or g1308 or g1319 or g1356 or g1378 or g1443 or g1476 or g1481 )
g76    ( g4 or g89 or g375 or g450 or g924 or g1164 or g1179 or g1430 or g1492 )
g77    ( g30 or g45 or g368 or g433 or g510 or g641 or g845 or g846 or g908 or g1023 or g1058 or g1113 or g1312 or g1380 or g1408 or g1474 )
g78    ( g421 or g551 )
g79    ( g467 or g562 or g572 or g655 or g662 or g687 or g740 or g805 or g842 or g847 or g897 or g958 or g971 or g1036 or g1198 or g1202 or g1473 or g1480 )
g80    ( g238 or g617 or g834 or g876 or g991 or g1174 or g1419 )
g81    ( g75 or g266 or g297 or g431 or g528 or g619 or g849 or g1134 or g1469 )
g82    ( g153 or g217 or g234 or g387 or g393 or g400 or g433 or g477 or g480 or g493 or g496 or g522 or g644 or g676 or g717 or g733 or g756 or g759 or g839 or g857 or g874 or g883 or g909 or g939 or g984 or g988 or g992 or g1023 or g1136 or g1183 or g1208 or g1215 or g1285 or g1369 or g1390 or g1431 or g1491 )
g83    ( g3 or g107 or g248 or g276 or g444 or g521 or g657 or g681 or g740 or g750 or g752 or g773 or g914 or g994 or g1072 or g1111 or g1121 or g1133 or g1146 or g1206 or g1319 or g1331 or g1396 or g1405 or g1430 or g1460 or g1470 )
g84    ( g396 or g674 or g766 or g1071 or g1091 or g1210 or g1328 or g1354 or g1435 )
g85    ( g86 or g430 or g875 or g1468 )
g86    ( g382 or g450 or g516 or g635 or g1173 or g1214 or g1451 )
g87    ( g320 or g610 or g618 or g754 or g840 )
g88    ( g819 or g1123 or g1459 )
g89    ( g69 or g93 or g173 or g407 or g607 or g693 or g699 or g933 or g988 or g1093 or g1307 )
g90    ( g519 or g824 or g1077 or g1160 or g1341 )
g91    ( g3 or g16 or g83 or g114 or g151 or g168 or g188 or g201 or g216 or g224 or g301 or g316 or g331 or g336 or g337 or g339 or g412 or g455 or g468 or g497 or g529 or g549 or g553 or g566 or g592 or g605 or g616 or g617 or g621 or g651 or g656 or g682 or g703 or g717 or g765 or g774 or g779 or g784 or g791 or g821 or g847 or g868 or g898 or g927 or g935 or g986 or g987 or g991 or g1012 or g1037 or g1055 or g1056 or g1088 or g1100 or g1126 or g1145 or g1189 or g1194 or g1220 or g1236 or g1273 or g1286 or g1320 or g1321 or g1351 or g1362 or g1367 or g1370 or g1378 or g1394 or g1398 or g1428 or g1436 or g1460 or g1479 or g1495 )
g92    ( g127 or g143 or g418 or g426 or g638 or g826 or g884 or g1062 or g1087 or g1146 or g1271 or g1339 or g1410 )
g93    ( g107 or g1075 or g1374 or g1415 or g1435 )
g94    ( g12 or g263 or g386 or g410 or g440 or g441 or g582 or g746 or g828 or g1224 or g1321 or g1487 )
g95    ( g11 or g249 or g300 or g308 or g352 or g358 or g361 or g462 or g493 or g500 or g531 or g610 or g728 or g768 or g811 or g911 or g952 or g971 or g976 or g989 or g1000 or g1088 or g1136 or g1139 or g1142 or g1163 or g1212 or g1228 or g1263 or g1297 or g1327 or g1362 or g1408 or g1423 or g1429 or g1488 )
g96    ( g111 or g602 or g653 or g1014 )
g97    ( g116 or g221 or g225 or g226 or g261 or g308 or g384 or g506 or g548 or g573 or g578 or g717 or g720 or g735 or g810 or g817 or g931 or g1040 or g1076 or g1096 or g1100 or g1188 or g1244 or g1346 )
g98    ( g85 or g102 or g164 or g1200 or g1368 )
g99    ( g199 or g413 or g433 or g995 or g1097 or g1208 )
g100    ( g94 or g119 or g186 or g207 or g211 or g214 or g232 or g235 or g236 or g267 or g297 or g305 or g326 or g333 or g374 or g402 or g416 or g436 or g443 or g456 or g466 or g469 or g483 or g499 or g503 or g545 or g557 or g581 or g584 or g591 or g598 or g600 or g617 or g627 or g633 or g639 or g658 or g663 or g678 or g689 or g703 or g706 or g715 or g749 or g772 or g776 or g778 or g787 or g802 or g813 or g815 or g831 or g845 or g875 or g888 or g896 or g907 or g913 or g977 or g982 or g1007 or g1009 or g1026 or g1041 or g1044 or g1055 or g1062 or g1074 or g1085 or g1094 or g1106 or g1128 or g1139 or g1140 or g1150 or g1153 or g1154 or g1155 or g1167 or g1174 or g1182 or g1190 or g1204 or g1205 or g1221 or g1275 or g1277 or g1322 or g1326 or g1337 or g1375 or g1402 or g1407 or g1414 or g1431 or g1432 or g1447 or g1458 or g1469 or g1488 or g1500 )
g101    ( g40 or g1394 or g1480 )
g102    ( g44 or g206 or g432 or g563 or g760 or g935 or g1168 or g1295 )
g103    ( g92 or g579 or g895 or g918 or g987 or g1066 or g1085 or g1219 or g1486 )
g104    ( g659 or g740 or g1296 or g1391 or g1500 )
g105    ( g163 or g640 or g1371 )
g106    ( g50 or g799 or g948 or g1158 or g1352 )
g107    ( g52 or g66 or g117 or g222 or g316 or g355 or g356 or g480 or g482 or g502 or g525 or g605 or g610 or g896 or g964 or g1021 or g1061 or g1265 or g1347 )
g108    ( g432 or g1482 )
g109    ( g413 or g487 or g787 )
g110    ( g219 or g1005 or g1133 )
g111    ( g984 or g1123 or g1443 )
g112    ( g7 or g92 or g106 or g293 or g313 or g778 or g846 or g881 or g897 or g950 or g983 or g1173 or g1404 or g1438 or g1473 )
g113    ( g83 or g192 or g285 or g479 or g545 or g628 or g698 or g799 or g823 or g830 or g899 or g959 or g1046 or g1203 or g1359 or g1365 or g1373 or g1385 or g1413 or g1448 or g1463 or g1478 or g1481 or g1500 )
g114    ( g921 or g1292 or g1381 or g1456 )
g115    ( g257 or g665 or g729 or g1045 or g1098 or g1110 or g1149 or g1158 or g1372 or g1421 )
g116    ( g38 or g200 or g711 or g1316 or g1343 )
g117    ( g822 or g1053 or g1380 )
g118    ( g337 or g357 or g839 or g1109 or g1477 or g1488 )
g119    
g120    ( g107 or g117 or g144 or g815 or g909 or g1231 or g1355 or g1357 or g1476 )
g121    ( g26 or g130 or g166 or g190 or g229 or g709 or g902 or g1259 or g1275 or g1328 or g1446 )
g122    ( g64 or g791 )
g123    ( g5 or g7 or g9 or g16 or g27 or g66 or g77 or g80 or g92 or g100 or g105 or g113 or g116 or g159 or g160 or g161 or g163 or g167 or g169 or g177 or g178 or g182 or g191 or g197 or g198 or g204 or g214 or g216 or g230 or g239 or g244 or g253 or g260 or g268 or g274 or g285 or g291 or g303 or g307 or g311 or g313 or g316 or g326 or g329 or g334 or g336 or g339 or g344 or g361 or g362 or g366 or g368 or g371 or g383 or g391 or g410 or g417 or g420 or g422 or g424 or g427 or g432 or g441 or g462 or g470 or g471 or g486 or g494 or g497 or g506 or g515 or g520 or g521 or g526 or g528 or g532 or g549 or g553 or g557 or g559 or g563 or g571 or g572 or g573 or g574 or g582 or g587 or g590 or g611 or g621 or g622 or g623 or g625 or g628 or g635 or g638 or g651 or g653 or g661 or g666 or g672 or g683 or g686 or g709 or g712 or g713 or g741 or g745 or g761 or g764 or g765 or g766 or g767 or g770 or g771 or g781 or g786 or g792 or g801 or g803 or g804 or g807 or g815 or g822 or g827 or g829 or g834 or g837 or g847 or g848 or g855 or g870 or g880 or g885 or g894 or g896 or g904 or g908 or g910 or g911 or g914 or g920 or g923 or g924 or g931 or g966 or g976 or g978 or g992 or g995 or g1000 or g1004 or g1008 or g1016 or g1023 or g1025 or g1027 or g1050 or g1071 or g1081 or g1091 or g1092 or g1093 or g1097 or g1098 or g1105 or g1108 or g1113 or g1115 or g1144 or g1151 or g1153 or g1155 or g1159 or g1166 or g1170 or g1176 or g1178 or g1179 or g1189 or g1197 or g1201 or g1204 or g1208 or g1212 or g1228 or g1229 or g1236 or g1246 or g1256 or g1265 or g1270 or g1292 or g1304 or g1305 or g1306 or g1309 or g1310 or g1315 or g1318 or g1322 or g1328 or g1330 or g1332 or g1335 or g1339 or g1341 or g1351 or g1355 or g1364 or g1369 or g1370 or g1386 or g1391 or g1393 or g1395 or g1405 or g1411 or g1421 or g1423 or g1424 or g1429 or g1436 or g1438 or g1443 or g1444 or g1449 or g1455 or g1457 or g1465 or g1471 or g1475 or g1479 or g1482 or g1485 or g1486 or g1491 or g1493 or g1494 or g1497 or g1500 )
g124    ( g39 or g166 or g202 or g204 or g363 or g374 or g437 or g584 or g670 or g678 or g710 or g753 or g805 or g969 or g1004 or g1272 or g1411 or g1438 or g1450 )
g125    ( g91 or g596 or g600 or g677 or g710 or g984 or g1409 or g1430 or g1455 )
g126    ( g17 or g26 or g38 or g41 or g55 or g65 or g86 or g95 or g110 or g116 or g123 or g143 or g146 or g155 or g159 or g164 or g197 or g198 or g208 or g220 or g229 or g241 or g284 or g285 or g290 or g297 or g299 or g318 or g324 or g373 or g399 or g403 or g410 or g411 or g415 or g424 or g435 or g461 or g464 or g471 or g482 or g492 or g514 or g515 or g522 or g524 or g534 or g542 or g549 or g555 or g568 or g575 or g580 or g596 or g628 or g651 or g653 or g663 or g665 or g697 or g712 or g715 or g716 or g729 or g739 or g742 or g790 or g794 or g826 or g849 or g886 or g895 or g902 or g915 or g931 or g941 or g956 or g958 or g977 or g986 or g991 or g1001 or g1011 or g1012 or g1026 or g1061 or g1078 or g1097 or g1114 or g1121 or g1138 or g1168 or g1206 or g1217 or g1219 or g1233 or g1245 or g1258 or g1261 or g1262 or g1264 or g1268 or g1279 or g1286 or g1291 or g1303 or g1308 or g1317 or g1328 or g1344 or g1345 or g1347 or g1354 or g1366 or g1376 or g1385 or g1395 or g1398 or g1400 or g1420 or g1422 or g1429 or g1431 or g1441 or g1445 or g1447 or g1457 or g1459 or g1472 or g1477 or g1482 or g1488 or g1491 or g1497 or g1498 )
g127    ( g81 or g177 or g354 or g1166 )
g128    ( g10 or g65 or g177 or g261 or g300 or g396 or g423 or g605 or g608 or g756 or g853 or g963 or g1012 or g1086 or g1306 or g1314 or g1331 or g1343 or g1467 )
g129    ( g436 or g758 or g1415 or g1498 )
g130    ( g48 or g234 or g245 or g580 or g584 or g715 or g856 or g1000 or g1182 or g1467 )
g131    ( g30 or g489 or g589 or g690 or g704 or g748 or g771 or g791 or g851 or g880 or g907 or g1039 or g1077 or g1085 or g1400 or g1422 or g1491 )
g132    ( g1015 or g1189 )
g133    ( g706 or g1254 )
g134    ( g72 or g97 or g435 or g478 or g776 or g827 or g849 or g901 or g966 or g1345 )
g135    ( g331 or g410 or g427 or g750 )
g136    ( g5 or g11 or g22 or g23 or g24 or g43 or g50 or g70 or g72 or g86 or g88 or g90 or g91 or g101 or g102 or g105 or g111 or g116 or g117 or g120 or g123 or g125 or g128 or g129 or g130 or g135 or g140 or g142 or g143 or g158 or g162 or g165 or g168 or g170 or g172 or g173 or g176 or g192 or g206 or g207 or g225 or g226 or g228 or g240 or g241 or g249 or g253 or g258 or g260 or g266 or g272 or g275 or g277 or g284 or g285 or g289 or g292 or g293 or g300 or g303 or g307 or g315 or g321 or g327 or g339 or g345 or g347 or g348 or g351 or g353 or g361 or g363 or g366 or g374 or g382 or g394 or g403 or g405 or g414 or g418 or g423 or g425 or g428 or g435 or g443 or g446 or g450 or g455 or g457 or g475 or g478 or g479 or g481 or g482 or g494 or g495 or g498 or g505 or g516 or g520 or g523 or g527 or g533 or g536 or g537 or g541 or g545 or g548 or g560 or g566 or g573 or g580 or g587 or g592 or g594 or g596 or g602 or g609 or g614 or g616 or g629 or g635 or g640 or g660 or g661 or g671 or g672 or g674 or g676 or g682 or g684 or g695 or g696 or g701 or g703 or g706 or g707 or g708 or g712 or g720 or g727 or g729 or g730 or g732 or g734 or g736 or g738 or g740 or g742 or g743 or g745 or g748 or g759 or g773 or g775 or g777 or g778 or g785 or g787 or g794 or g796 or g808 or g811 or g814 or g826 or g834 or g836 or g837 or g843 or g844 or g849 or g850 or g868 or g869 or g871 or g876 or g880 or g882 or g885 or g890 or g891 or g897 or g901 or g902 or g905 or g907 or g914 or g919 or g920 or g923 or g925 or g927 or g931 or g941 or g949 or g950 or g957 or g967 or g969 or g975 or g980 or g986 or g988 or g991 or g993 or g998 or g1006 or g1007 or g1011 or g1016 or g1030 or g1037 or g1044 or g1046 or g1048 or g1049 or g1057 or g1065 or g1066 or g1067 or g1073 or g1074 or g1080 or g1081 or g1084 or g1086 or g1109 or g1120 or g1121 or g1124 or g1136 or g1137 or g1144 or g1145 or g1148 or g1154 or g1156 or g1161 or g1162 or g1166 or g1169 or g1170 or g1171 or g1174 or g1176 or g1177 or g1182 or g1183 or g1188 or g1193 or g1199 or g1203 or g1204 or g1206 or g1210 or g1211 or g1213 or g1215 or g1216 or g1236 or g1238 or g1239 or g1245 or g1246 or g1252 or g1265 or g1267 or g1268 or g1272 or g1277 or g1288 or g1292 or g1301 or g1302 or g1303 or g1305 or g1317 or g1319 or g1320 or g1323 or g1324 or g1325 or g1326 or g1329 or g1330 or g1331 or g1332 or g1341 or g1348 or g1351 or g1354 or g1355 or g1358 or g1360 or g1364 or g1365 or g1369 or g1372 or g1381 or g1387 or g1389 or g1390 or g1396 or g1400 or g1407 or g1408 or g1415 or g1428 or g1435 or g1436 or g1437 or g1441 or g1443 or g1447 or g1451 or g1452 or g1454 or g1457 or g1458 or g1459 or g1461 or g1465 or g1467 or g1473 or g1474 or g1478 or g1479 or g1481 or g1485 or g1486 or g1488 or g1493 or g1494 or g1499 )
g137    ( g538 or g646 or g930 or g1043 or g1286 or g1307 or g1362 or g1481 )
g138    ( g344 or g784 or g1129 or g1132 or g1470 )
g139    ( g262 or g418 or g704 or g1042 or g1353 or g1369 or g1372 or g1409 )
g140    ( g10 or g57 or g67 or g145 or g224 or g270 or g296 or g413 or g463 or g550 or g573 or g581 or g617 or g694 or g716 or g761 or g773 or g804 or g868 or g929 or g955 or g962 or g1048 or g1049 or g1091 or g1144 or g1204 or g1224 or g1239 or g1298 or g1346 or g1348 or g1381 or g1420 or g1477 or g1482 or g1492 or g1497 )
g141    ( g39 or g57 or g63 or g288 or g289 or g360 or g401 or g448 or g459 or g538 or g558 or g573 or g616 or g660 or g676 or g684 or g713 or g797 or g849 or g857 or g908 or g914 or g1026 or g1098 or g1106 or g1110 or g1176 or g1194 or g1267 or g1292 or g1314 or g1373 or g1456 or g1457 or g1487 )
g142    ( g620 or g860 or g1028 or g1075 or g1296 or g1419 )
g143    ( g127 or g138 or g147 or g340 or g372 or g459 or g479 or g537 or g579 or g591 or g615 or g630 or g648 or g653 or g682 or g697 or g760 or g763 or g770 or g790 or g818 or g820 or g824 or g901 or g906 or g927 or g1061 or g1123 or g1127 or g1156 or g1200 or g1240 or g1254 or g1265 or g1283 or g1327 or g1332 or g1358 or g1373 or g1378 or g1381 or g1413 or g1429 or g1434 or g1440 or g1471 )
g144    ( g28 or g442 or g582 or g742 or g760 or g904 or g1010 )
g145    ( g21 or g27 or g33 or g46 or g72 or g187 or g191 or g197 or g226 or g234 or g276 or g322 or g325 or g348 or g357 or g364 or g368 or g405 or g471 or g480 or g494 or g495 or g504 or g565 or g602 or g652 or g657 or g674 or g681 or g686 or g701 or g748 or g756 or g780 or g796 or g810 or g820 or g870 or g926 or g935 or g972 or g1004 or g1007 or g1098 or g1129 or g1183 or g1185 or g1194 or g1201 or g1203 or g1205 or g1210 or g1252 or g1257 or g1345 or g1372 or g1404 or g1407 or g1431 or g1450 or g1469 )
g146    ( g89 or g201 or g373 or g447 or g548 or g704 or g801 or g840 or g894 or g1103 or g1220 or g1462 )
g147    ( g72 or g90 or g97 or g104 or g114 or g217 or g222 or g261 or g283 or g291 or g344 or g618 or g623 or g669 or g703 or g740 or g747 or g760 or g856 or g870 or g932 or g953 or g1024 or g1028 or g1082 or g1089 or g1092 or g1107 or g1113 or g1134 or g1148 or g1180 or g1206 or g1240 or g1263 or g1285 or g1325 or g1378 )
g148    ( g31 or g45 or g212 or g507 or g849 or g887 or g1125 )
g149    ( g40 or g277 or g490 or g691 or g1095 or g1241 )
g150    ( g841 or g946 )
g151    ( g541 or g606 or g905 or g954 or g1142 or g1334 )
g152    ( g874 or g1007 or g1013 or g1093 or g1290 )
g153    ( g335 or g367 or g1053 )
g154    ( g89 or g98 or g129 or g307 or g327 or g799 or g857 or g1218 or g1290 or g1341 or g1346 )
g155    ( g31 or g1083 or g1315 )
g156    ( g113 or g256 or g324 or g729 or g1081 or g1469 )
g157    ( g613 or g727 or g966 or g1432 )
g158    ( g898 or g914 or g1143 )
g159    ( g215 or g380 or g473 or g521 or g570 or g647 or g745 or g789 or g798 or g810 or g818 or g841 or g846 or g995 or g1028 or g1131 or g1185 or g1221 or g1231 or g1282 or g1284 or g1385 or g1409 or g1434 or g1495 )
g160    ( g214 or g634 or g844 or g870 or g1078 or g1142 or g1427 )
g161    ( g173 or g288 or g495 or g530 or g568 or g955 or g1096 or g1263 or g1326 )
g162    ( g202 or g454 or g490 or g618 )
g163    ( g129 or g189 or g372 or g878 or g1128 or g1312 or g1375 )
g164    ( g81 or g211 or g218 or g221 or g288 or g307 or g469 or g483 or g572 or g726 or g835 or g984 or g987 or g1021 or g1086 or g1164 or g1364 or g1400 or g1461 or g1472 or g1477 or g1482 )
g165    ( g87 or g106 or g231 or g292 or g499 or g596 or g687 or g728 or g764 or g893 or g976 or g1219 or g1385 )
g166    ( g840 or g1027 or g1217 or g1442 )
g167    ( g267 or g731 or g856 or g883 or g1352 )
g168    ( g131 or g219 or g269 or g334 or g639 or g731 or g1016 or g1221 or g1301 or g1395 or g1397 or g1465 or g1492 )
g169    ( g4 or g78 or g92 or g184 or g222 or g237 or g297 or g310 or g376 or g382 or g401 or g404 or g421 or g453 or g472 or g486 or g521 or g535 or g629 or g660 or g748 or g828 or g835 or g838 or g896 or g920 or g997 or g1078 or g1083 or g1100 or g1101 or g1116 or g1156 or g1169 or g1190 or g1213 or g1227 or g1236 or g1259 or g1271 or g1281 or g1295 or g1325 or g1341 or g1369 )
g170    ( g12 or g27 or g304 or g332 or g386 or g585 or g818 or g1343 or g1419 or g1483 )
g171    ( g137 or g190 or g213 or g361 or g472 or g485 or g498 or g505 or g698 or g771 or g803 or g923 or g1008 or g1101 or g1163 or g1345 or g1354 or g1421 or g1461 )
g172    ( g6 or g36 or g38 or g49 or g51 or g73 or g96 or g150 or g154 or g198 or g232 or g235 or g250 or g292 or g363 or g377 or g418 or g421 or g424 or g449 or g542 or g549 or g666 or g681 or g688 or g705 or g768 or g900 or g905 or g921 or g936 or g958 or g1035 or g1053 or g1120 or g1175 or g1220 or g1241 or g1314 or g1363 or g1420 or g1432 or g1456 )
g173    ( g941 or g1244 or g1498 )
g174    ( g227 or g292 or g385 or g475 or g544 or g619 or g635 or g984 or g1089 or g1129 or g1165 or g1195 or g1240 or g1253 or g1403 or g1405 or g1454 )
g175    ( g47 or g215 )
g176    ( g376 or g406 or g509 or g1343 )
g177    ( g25 or g52 or g132 or g270 or g284 or g559 or g578 or g649 or g658 or g986 or g1160 or g1269 or g1388 or g1404 )
g178    ( g305 or g477 or g508 or g592 or g894 or g1440 )
g179    ( g115 or g404 or g501 or g858 or g1085 or g1166 or g1224 )
g180    ( g135 or g166 or g237 or g278 or g290 or g353 or g524 or g631 or g651 or g664 or g710 or g765 or g810 or g920 or g948 or g960 or g1015 or g1072 or g1101 or g1203 or g1232 or g1319 or g1427 or g1498 )
g181    ( g392 or g506 or g640 or g765 or g1302 or g1488 )
